,ID,Count
0,18288,485.3325890191261
1,18289,387.32079733563626
2,18290,327.79269224944767
3,18291,270.84339090431524
4,18292,227.96970061404522
5,18293,204.07048601047666
6,18294,219.43118655502954
7,18295,254.48221800537289
8,18296,293.0521522194321
9,18297,378.68741089818724
10,18298,537.5037723958802
11,18299,595.893408940867
12,18300,602.2067344875333
13,18301,532.604907764041
14,18302,569.4843886896488
15,18303,562.2913374520535
16,18304,547.9397340235665
17,18305,560.7043813037111
18,18306,574.5039999849486
19,18307,609.6067800053468
20,18308,585.8110625418869
21,18309,546.7926407206879
22,18310,548.7763359061158
23,18311,535.8046943457531
24,18312,369.9152689853301
25,18313,295.21173762427514
26,18314,249.84005745408837
27,18315,206.43391370390833
28,18316,173.75604900874774
29,18317,155.54032519657903
30,18318,167.24808561140142
31,18319,193.96360404252835
32,18320,223.36119223741042
33,18321,288.63146352251397
34,18322,409.6795827131569
35,18323,454.1835344303642
36,18324,458.9954831241598
37,18325,405.9457208851844
38,18326,434.05486380140013
39,18327,428.5723976666658
40,18328,417.6337601988028
41,18329,427.3628367928154
42,18330,437.8807574349914
43,18331,464.6357180685266
44,18332,446.4988786611738
45,18333,416.7594580454214
46,18334,418.27140913773417
47,18335,408.38456373408917
48,18336,364.3894997368955
49,18337,290.80188467060896
50,18338,246.1079635875828
51,18339,203.3502178745688
52,18340,171.16049291025075
53,18341,153.21687434736074
54,18342,164.7497450296081
55,18343,191.0661888547918
56,18344,220.0246378671497
57,18345,284.31990625795936
58,18346,403.55981683791356
59,18347,447.3989715368542
60,18348,452.13903966678413
61,18349,399.88173118518125
62,18350,427.57098162723025
63,18351,422.1704122005069
64,18352,411.3951753586995
65,18353,420.97891966511463
66,18354,431.3397243206987
67,18355,457.69502116334104
68,18356,439.8291086353675
69,18357,410.53393347170345
70,18358,412.0232991409437
71,18359,402.28414276469493
72,18360,513.6603338367918
73,18361,409.9278197317077
74,18362,346.9251963285669
75,18363,286.65189549823685
76,18364,241.27576670411736
77,18365,215.98161001763452
78,18366,232.23887925568087
79,18367,269.33575863996987
80,18368,310.15693103331193
81,18369,400.7905224227332
82,18370,568.8766289636535
83,18371,630.6743340403362
84,18372,637.3561538506956
85,18373,563.6918288922274
86,18374,602.723880134162
87,18375,595.1109870715395
88,18376,579.9217136228542
89,18377,593.4314039498097
90,18378,608.0364745735455
91,18379,645.1881229726739
92,18380,620.0035043158684
93,18381,578.7076671272554
94,18382,580.8071460294175
95,18383,567.0783796431064
96,18384,507.35639065306907
97,18385,404.89694326571
98,18386,342.6675252907405
99,18387,283.1339340289725
100,18388,238.31468790414294
101,18389,213.3309560570491
102,18390,229.38870647916193
103,18391,266.0303110358519
104,18392,306.35050187677706
105,18393,395.8717842693405
106,18394,561.8950387739893
107,18395,622.9343258922947
108,18396,629.5341424610689
109,18397,556.7738696331921
110,18398,595.3268964748281
111,18399,587.8074333349955
112,18400,572.8045716267445
113,18401,586.1484630499483
114,18402,600.5742916155743
115,18403,637.2699930293858
116,18404,612.3944548965335
117,18405,571.6054246272261
118,18406,573.6791374835348
119,18407,560.1188586318468
120,18408,522.7333554526131
121,18409,417.1685656572711
122,18410,353.05309758551357
123,18411,291.7151613818314
124,18412,245.53753289955006
125,18413,219.79659374758808
126,18414,236.34102270090628
127,18415,274.0931615365512
128,18416,315.63537730254666
129,18417,407.8698720119759
130,18418,578.9249617067513
131,18419,641.8142284186897
132,18420,648.6140723231417
133,18421,573.6485800978325
134,18422,613.3700726325815
135,18423,605.622709495542
136,18424,590.1651408384275
137,18425,603.9134591151878
138,18426,618.7765059008747
139,18427,656.5843811619663
140,18428,630.9549148608963
141,18429,588.9296500743665
142,18430,591.0662130498091
143,18431,577.0949490712638
144,18432,506.6516294872433
145,18433,404.33450698416857
146,18434,342.1915309619736
147,18435,282.7406369204562
148,18436,237.9836485393593
149,18437,213.03462122010353
150,18438,229.07006606153084
151,18439,265.66077231395025
152,18440,305.9249549814752
153,18441,395.32188470103097
154,18442,561.1145187886427
155,18443,622.0690171471274
156,18444,628.659666009522
157,18445,556.0004633872219
158,18446,594.4999367965103
159,18447,586.9909188303394
160,18448,572.0088973726558
161,18449,585.3342529960762
162,18450,599.7400428592334
163,18451,636.38477082364
164,18452,611.5437869283573
165,18453,570.8114160902801
166,18454,572.8822483831091
167,18455,559.3408059117417
168,18456,494.0454752497045
169,18457,394.274136382459
170,18458,333.6773587635107
171,18459,275.7056806096545
172,18460,232.0623045528895
173,18461,207.73404161720316
174,18462,223.3705036484041
175,18463,259.0507853411605
176,18464,298.3131425581901
177,18465,385.4857599123684
178,18466,547.1532567357983
179,18467,606.591127567482
180,18468,613.0177924786774
181,18469,542.1664457118106
182,18470,579.7080019416898
183,18471,572.3858181494261
184,18472,557.776568952392
185,18473,570.7703723247539
186,18474,584.8177273219021
187,18475,620.5506865958981
188,18476,596.3277788226899
189,18477,556.6088825682534
190,18478,558.6281898490934
191,18479,545.4236761517747
192,18480,378.62824981910455
193,18481,302.16515216939786
194,18482,255.7247878629673
195,18483,211.29625620325118
196,18484,177.8486973844644
197,18485,159.2039205816362
198,18486,171.18744547728303
199,18487,198.53222098312668
200,18488,228.62223969920296
201,18489,295.4298863521368
202,18490,419.3291718257112
203,18491,464.8813692111844
204,18492,469.80665850013077
205,18493,415.507362650682
206,18494,444.27858805988205
207,18495,438.6669879683776
208,18496,427.4707019344889
209,18497,437.42893710886096
210,18498,448.19459675683083
211,18499,475.5797434863546
212,18500,457.01570913088585
213,18501,426.5758064762508
214,18502,428.1233700506465
215,18503,418.0036499815551
216,18504,373.1023952001186
217,18505,297.7552310855653
218,18506,251.99263633735632
219,18507,208.21251273225283
220,18508,175.25310118583917
221,18509,156.8804338361886
222,18510,168.6890662972958
223,18511,195.6347610316801
224,18512,225.28563378073716
225,18513,291.11826247603824
226,18514,413.20931140294635
227,18515,458.0967014993497
228,18516,462.9501091139092
229,18517,409.443279264873
230,18518,437.794605712764
